file,age,split
train/18-20/0.jpg,18-20,train
train/18-20/1.jpg,18-20,train
train/18-20/2.jpg,18-20,train
train/18-20/3.jpg,18-20,train
train/18-20/4.jpg,18-20,train
train/18-20/5.jpg,18-20,train
train/18-20/6.jpg,18-20,train
train/18-20/7.jpg,18-20,train
train/18-20/8.jpg,18-20,train
train/18-20/9.jpg,18-20,train
train/18-20/10.jpg,18-20,train
train/18-20/11.jpg,18-20,train
train/18-20/12.jpg,18-20,train
train/18-20/13.jpg,18-20,train
train/18-20/14.jpg,18-20,train
train/18-20/15.jpg,18-20,train
train/18-20/16.jpg,18-20,train
train/18-20/17.jpg,18-20,train
train/18-20/18.jpg,18-20,train
train/18-20/19.jpg,18-20,train
train/18-20/20.jpg,18-20,train
train/18-20/21.jpg,18-20,train
train/18-20/22.jpg,18-20,train
train/18-20/23.jpg,18-20,train
train/18-20/24.jpg,18-20,train
test/18-20/25.jpg,18-20,test
test/18-20/26.jpg,18-20,test
test/18-20/27.jpg,18-20,test
test/18-20/28.jpg,18-20,test
test/18-20/29.jpg,18-20,test
train/21-30/0.jpg,21-30,train
train/21-30/1.jpg,21-30,train
train/21-30/2.jpg,21-30,train
train/21-30/3.jpg,21-30,train
train/21-30/4.jpg,21-30,train
train/21-30/5.jpg,21-30,train
train/21-30/6.jpg,21-30,train
train/21-30/7.jpg,21-30,train
train/21-30/8.jpg,21-30,train
train/21-30/9.jpg,21-30,train
train/21-30/10.jpg,21-30,train
train/21-30/11.jpg,21-30,train
train/21-30/12.jpg,21-30,train
train/21-30/13.jpg,21-30,train
train/21-30/14.jpg,21-30,train
train/21-30/15.jpg,21-30,train
train/21-30/16.jpg,21-30,train
train/21-30/17.jpg,21-30,train
train/21-30/18.jpg,21-30,train
train/21-30/19.jpg,21-30,train
train/21-30/20.jpg,21-30,train
train/21-30/21.jpg,21-30,train
train/21-30/22.jpg,21-30,train
train/21-30/23.jpg,21-30,train
train/21-30/24.jpg,21-30,train
test/21-30/25.jpg,21-30,test
test/21-30/26.jpg,21-30,test
test/21-30/27.jpg,21-30,test
test/21-30/28.jpg,21-30,test
test/21-30/29.jpg,21-30,test
train/31-40/0.jpg,31-40,train
train/31-40/1.jpg,31-40,train
train/31-40/2.jpg,31-40,train
train/31-40/3.jpg,31-40,train
train/31-40/4.jpg,31-40,train
train/31-40/5.jpg,31-40,train
train/31-40/6.jpg,31-40,train
train/31-40/7.jpg,31-40,train
train/31-40/8.jpg,31-40,train
train/31-40/9.jpg,31-40,train
train/31-40/10.jpg,31-40,train
train/31-40/11.jpg,31-40,train
train/31-40/12.jpg,31-40,train
train/31-40/13.jpg,31-40,train
train/31-40/14.jpg,31-40,train
train/31-40/15.jpg,31-40,train
train/31-40/16.jpg,31-40,train
train/31-40/17.jpg,31-40,train
train/31-40/18.jpg,31-40,train
train/31-40/19.jpg,31-40,train
train/31-40/20.jpg,31-40,train
train/31-40/21.jpg,31-40,train
train/31-40/22.jpg,31-40,train
train/31-40/23.jpg,31-40,train
train/31-40/24.jpg,31-40,train
test/31-40/25.jpg,31-40,test
test/31-40/26.jpg,31-40,test
test/31-40/27.jpg,31-40,test
test/31-40/28.jpg,31-40,test
test/31-40/29.jpg,31-40,test
train/41-50/0.jpg,41-50,train
train/41-50/1.jpg,41-50,train
train/41-50/2.jpg,41-50,train
train/41-50/3.jpg,41-50,train
train/41-50/4.jpg,41-50,train
train/41-50/5.jpg,41-50,train
train/41-50/6.jpg,41-50,train
train/41-50/7.jpg,41-50,train
train/41-50/8.jpg,41-50,train
train/41-50/9.jpg,41-50,train
train/41-50/10.jpg,41-50,train
train/41-50/11.jpg,41-50,train
train/41-50/12.jpg,41-50,train
train/41-50/13.jpg,41-50,train
train/41-50/14.jpg,41-50,train
train/41-50/15.jpg,41-50,train
train/41-50/16.jpg,41-50,train
train/41-50/17.jpg,41-50,train
train/41-50/18.jpg,41-50,train
train/41-50/19.jpg,41-50,train
train/41-50/20.jpg,41-50,train
train/41-50/21.jpg,41-50,train
train/41-50/22.jpg,41-50,train
train/41-50/23.jpg,41-50,train
train/41-50/24.jpg,41-50,train
test/41-50/25.jpg,41-50,test
test/41-50/26.jpg,41-50,test
test/41-50/27.jpg,41-50,test
test/41-50/28.jpg,41-50,test
test/41-50/29.jpg,41-50,test
train/51-60/0.jpg,51-60,train
train/51-60/1.jpg,51-60,train
train/51-60/2.jpg,51-60,train
train/51-60/3.jpg,51-60,train
train/51-60/4.jpg,51-60,train
train/51-60/5.jpg,51-60,train
train/51-60/6.jpg,51-60,train
train/51-60/7.jpg,51-60,train
train/51-60/8.jpg,51-60,train
train/51-60/9.jpg,51-60,train
train/51-60/10.jpg,51-60,train
train/51-60/11.jpg,51-60,train
train/51-60/12.jpg,51-60,train
train/51-60/13.jpg,51-60,train
train/51-60/14.jpg,51-60,train
train/51-60/15.jpg,51-60,train
train/51-60/16.jpg,51-60,train
train/51-60/17.jpg,51-60,train
train/51-60/18.jpg,51-60,train
train/51-60/19.jpg,51-60,train
train/51-60/20.jpg,51-60,train
train/51-60/21.jpg,51-60,train
train/51-60/22.jpg,51-60,train
train/51-60/23.jpg,51-60,train
train/51-60/24.jpg,51-60,train
test/51-60/25.jpg,51-60,test
test/51-60/26.jpg,51-60,test
test/51-60/27.jpg,51-60,test
test/51-60/28.jpg,51-60,test
test/51-60/29.jpg,51-60,test
